Country (or dependency),Population (2020),Population (2019),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Net population change,Population change [%],Density (2020)
Holy See,800,720,0,,,,80,10.0,High
Bahrain,1711057,1771460,760,47800.0,,32.0,60403,3.5301570900326524,High
Uganda,45974931,47446344,199810,168694.0,,17.0,1471413,3.2004680985818124,230.09324358140233
DR Congo,90003954,92774790,2267050,23861.0,,17.0,2770836,3.0785714147625116,39.70091263977415
Falkland Islands,3497,3600,12170,,,,103,2.945381755790678,0.2873459326211997
Chad,16502877,16981865,1259200,2000.0,,17.0,478988,2.9024514937607546,13.105842598475222
Gambia,2427782,2496744,10120,-3087.0,,18.0,68962,2.840535105705537,239.8994071146245
Zambia,18468257,18991182,743390,-8000.0,,18.0,522925,2.83147998211201,24.843294905769515
Burkina Faso,20997293,21579188,273600,-25000.0,,18.0,581895,2.7712858033652243,76.74449195906433
Senegal,16816539,17264102,192530,-20000.0,,19.0,447563,2.6614453782671927,87.3450319430738
Benin,12175480,12497529,112760,-2000.0,,19.0,322049,2.6450620427285005,107.97694217807734
Malawi,19211425,19712630,94280,-16053.0,,18.0,501205,2.6088902827354037,203.76988756894357
Oman,5128058,5259698,309500,87400.0,,31.0,131640,2.5670536487691833,16.568846526655896
Cameroon,26655083,27324566,472710,-4800.0,,19.0,669483,2.511652280354933,56.387812823930105
Nigeria,206984347,212160337,910770,-60000.0,,18.0,5175990,2.5006673572277425,227.2630268893354
Côte d'Ivoire,26486282,27148012,318000,-8000.0,,19.0,661730,2.4983876559193927,83.29019496855346
Western Sahara,599769,614645,266000,5582.0,,28.0,14876,2.4802882443073915,2.2547706766917295
Syria,17571053,18001576,183630,-427391.0,,26.0,430523,2.450183264486198,95.68726787561945
Guinea-Bissau,1975718,2022797,28120,-1399.0,,19.0,47079,2.3828805527914407,70.26024182076813
Liberia,5077411,5197718,96320,-5000.0,,19.0,120307,2.3694556142884635,52.713984634551494
Vanuatu,308337,315600,12190,120.0,,21.0,7263,2.3555395557458234,25.294257588187037
State of Palestine,5121112,5241106,6020,-10563.0,,21.0,119994,2.3431239152746515,High
